packet_rate,avg_latency,byte_rate,flow_count,tcp_ratio,udp_ratio,icmp_ratio,congested
39.8113,46.6326,739.3272,10,0.6851,0.2289,0.0859,0
255.885,21.3629,4649.3324,15,0.8434,0.1566,0.0,0
17.0907,4.6217,20183.7724,13,0.5402,0.2185,0.2413,0
923.9116,412.3887,353230.2599,29,0.6476,0.0654,0.287,1
280.0585,30.1814,39911.0127,5,0.5279,0.3265,0.1456,0
1337.6061,199.492,159160.3974,90,0.9348,0.0652,0.0,1
218.7084,17.2143,30489.3645,7,0.6791,0.2099,0.111,0
803.3444,377.2207,331517.0125,91,0.9009,0.0991,0.0,1
141.2106,22.5949,23494.9043,7,0.524,0.358,0.1181,0
169.3022,23.0056,39483.9983,9,0.5521,0.3491,0.0988,0
239.976,29.4094,47304.4881,17,0.8195,0.1805,0.0,0
261.5179,22.5976,3548.485,14,0.8826,0.1174,0.0,0
53.0473,20.7725,39039.6773,10,0.8504,0.1496,0.0,0
227.5771,28.1991,44414.7209,1,0.792,0.208,0.0,0
149.349,3.2974,32234.64,18,0.6568,0.0749,0.2683,0
186.5477,4.6706,1007.4697,16,0.7499,0.2501,0.0,0
185.7183,44.1071,35822.7103,5,0.752,0.2152,0.0328,0
104.4795,24.4819,2317.2099,19,0.8011,0.1989,0.0,0
108.1086,43.2068,14833.7217,13,0.5877,0.1629,0.2494,0
30.8366,36.4945,16910.2658,19,0.6807,0.3018,0.0175,0
1355.2102,229.3529,375213.4766,71,0.8414,0.0676,0.091,1
76.1107,17.9477,19315.3946,12,0.5862,0.2781,0.1357,0
912.0482,304.3027,161152.7877,48,0.897,0.0317,0.0713,1
666.4533,217.9647,165707.9622,62,0.9434,0.0088,0.0479,1
87.149,1.0624,7287.9062,11,0.5139,0.3658,0.1203,0
505.5781,195.4569,276665.9779,72,0.7302,0.0058,0.2639,1
21.5845,4.9061,17233.3052,4,0.5325,0.1423,0.3252,0
27.6407,30.8346,38956.2913,6,0.5649,0.2386,0.1965,0
260.3139,5.3547,5337.6441,2,0.8901,0.1099,0.0,0
101.7075,20.5174,27762.083,3,0.5586,0.2635,0.1779,0
1739.1491,181.6435,433602.3077,63,0.624,0.1381,0.2379,1
149.7974,22.0958,42846.3514,5,0.8359,0.1641,0.0,0
1657.9135,355.4358,294918.1913,27,0.74,0.2224,0.0376,1
1885.3862,362.5322,97332.9992,69,0.8294,0.0535,0.117,1
1886.9059,256.0668,268965.2029,31,0.906,0.0479,0.0461,1
188.4167,11.383,16513.7102,16,0.7254,0.1923,0.0823,0
1111.9484,153.8325,126382.7141,54,0.8507,0.1493,0.0,1
1261.6409,154.3573,134800.2795,56,0.8084,0.1916,0.0,1
294.967,22.0717,10153.2546,13,0.7796,0.2204,0.0,0
154.0038,13.8955,45427.8819,4,0.7209,0.2229,0.0563,0
271.3205,3.4347,26264.5424,13,0.5564,0.3442,0.0994,0
925.0093,467.1621,366843.7141,37,0.9719,0.0281,0.0,1
130.18,31.5055,10739.5406,14,0.7615,0.2385,0.0,0
792.205,204.993,469001.7367,25,0.6455,0.0447,0.3099,1
27.8626,43.3585,14260.948,12,0.6631,0.2234,0.1135,0
85.5651,28.2864,23292.2691,2,0.5413,0.3977,0.061,0
130.8433,13.9401,37120.1124,13,0.7324,0.2676,0.0,0
1466.9402,133.203,326981.0559,90,0.6128,0.195,0.1922,1
1559.1365,209.3085,389343.1835,98,0.6752,0.0698,0.255,1
173.5876,4.4791,20279.3839,11,0.5924,0.0791,0.3285,0
132.6951,26.4169,28571.3146,18,0.7207,0.2656,0.0137,0
1872.5953,169.67,135358.8263,59,0.7469,0.1605,0.0926,1
244.5904,11.2943,25789.9141,19,0.8787,0.1213,0.0,0
1393.8345,247.2547,483914.7103,78,0.8242,0.1338,0.042,1
1366.2781,107.2608,234143.6665,97,0.9063,0.0937,0.0,1
93.4779,47.9055,34267.0206,6,0.5456,0.3292,0.1253,0
256.1139,2.6696,20567.3499,1,0.8615,0.1385,0.0,0
1827.736,333.1511,274182.4961,18,0.8734,0.1072,0.0194,1
1266.9781,471.2181,119455.926,92,0.8759,0.0308,0.0932,1
547.0594,238.6909,174038.1068,16,0.9421,0.0579,0.0,1
44.8906,31.5152,39450.6343,14,0.7758,0.2242,0.0,0
241.3691,14.6298,31793.4437,8,0.6848,0.3152,0.0,0
32.2547,8.4003,21173.0957,8,0.7091,0.1041,0.1868,0
81.0079,9.0963,31116.7561,14,0.8839,0.1161,0.0,0
588.9343,330.9983,440031.5808,83,0.7478,0.2522,0.0,1
111.1696,4.4009,8422.1556,13,0.6373,0.1672,0.1955,0
1079.7157,206.6749,136402.6821,59,0.9551,0.0228,0.0221,1
136.1754,4.9953,5698.1918,6,0.5825,0.0709,0.3467,0
16.6131,12.303,29988.7656,14,0.594,0.2651,0.1409,0
1590.7741,92.0009,99240.2683,93,0.7948,0.2052,0.0,1
287.9694,7.7507,27262.505,13,0.5449,0.3585,0.0966,0
92.6654,27.2892,49097.6384,16,0.5039,0.2759,0.2202,0
889.2974,404.9447,278845.5846,88,0.6763,0.2247,0.099,1
204.327,6.0643,24702.4722,16,0.6208,0.1033,0.2759,0
193.4457,18.5851,8686.8455,16,0.8569,0.08,0.0631,0
79.9979,16.3955,23033.4026,7,0.7479,0.1378,0.1143,0
774.0401,472.8385,472114.0313,93,0.7263,0.0056,0.2681,1
446.3924,411.5629,283139.3271,31,0.9425,0.0575,0.0,1
134.6875,9.8725,5542.8817,1,0.861,0.139,0.0,0
222.9858,4.7762,22028.9596,3,0.6872,0.0597,0.2531,0
242.2795,47.5667,39820.2042,16,0.8242,0.1758,0.0,0
271.6873,1.5324,30273.0087,8,0.8826,0.1174,0.0,0
171.8064,9.9898,29209.9406,18,0.5835,0.1723,0.2442,0
95.5616,37.0694,26896.3263,17,0.7111,0.2889,0.0,0
1172.3088,134.1688,358386.3871,40,0.8733,0.1267,0.0,1
1004.1957,301.3699,159022.1266,77,0.6482,0.06,0.2919,1
1300.81,263.0887,469311.1493,53,0.97,0.03,0.0,1
192.3949,10.6007,24976.7209,13,0.788,0.212,0.0,0
128.4227,9.5378,23213.0792,11,0.6748,0.2506,0.0746,0
72.2296,22.9578,47281.6161,12,0.8859,0.1141,0.0,0
231.3822,24.3294,8416.8982,13,0.662,0.338,0.0,0
1221.6789,307.7637,199277.3932,65,0.9218,0.0782,0.0,1
788.1673,279.2066,148068.4927,84,0.6435,0.0319,0.3246,1
1686.3871,212.0878,257727.8144,34,0.8019,0.0585,0.1396,1
418.2337,252.571,245397.2717,18,0.745,0.2538,0.0012,1
118.3782,36.5376,40094.105,15,0.6147,0.2678,0.1175,0
1277.6441,396.1388,482881.5185,71,0.9561,0.0439,0.0,1
1100.4944,318.273,359109.2388,61,0.9697,0.0303,0.0,1
293.9768,37.4458,787.6656,19,0.6543,0.3163,0.0294,0
272.504,22.9793,46424.4447,17,0.5481,0.3895,0.0624,0
173.9764,48.0302,13113.7286,16,0.8624,0.1376,0.0,0
